test_type,nodes,ntasks,tasks_per_node,cpus_per_task,Sx,Sy,iterations,total_time,comp_time,comm_time,waitall_time
mpi_strong,16,128,8(x16),14,16384,16384,500,1.389681,1.359095,0.054363,0.050231
mpi_strong,8,64,8(x8),14,16384,16384,500,2.864316,2.828713,0.086788,0.080380
mpi_strong,4,32,8(x4),14,16384,16384,500,5.804022,5.732234,0.218050,0.211202
mpi_strong,2,16,8(x2),14,16384,16384,500,11.615894,11.466885,0.319156,0.314168
mpi_strong,1,8,8,14,16384,16384,500,22.957763,22.851762,0.540187,0.537748
